,0,1,speaker,start,end
381,[ 02:55:38.952 -->  02:55:42.445],GL,SPEAKER_00,10538.9521875,10542.4453125
382,[ 02:55:42.445 -->  02:56:05.074],OM,SPEAKER_01,10542.4453125,10565.0746875
383,[ 02:56:03.184 -->  02:56:19.064],GM,SPEAKER_00,10563.184687500001,10579.064062499998
384,[ 02:56:20.177 -->  02:56:54.113],GN,SPEAKER_00,10580.177812499998,10614.1134375
385,[ 02:56:54.113 -->  02:56:55.665],ON,SPEAKER_01,10614.1134375,10615.665937499998
386,[ 02:56:56.729 -->  02:57:11.815],OO,SPEAKER_01,10616.729062499999,10631.815312499999
387,[ 02:57:11.815 -->  02:58:03.014],GO,SPEAKER_00,10631.815312499999,10683.014062499999
388,[ 02:58:03.790 -->  02:58:03.908],GP,SPEAKER_00,10683.790312500001,10683.908437499998
389,[ 02:58:03.824 -->  02:58:11.789],OP,SPEAKER_01,10683.8240625,10691.7890625
390,[ 02:58:11.789 -->  02:58:17.745],GQ,SPEAKER_00,10691.7890625,10697.7459375
391,[ 02:58:18.792 -->  02:58:19.450],GR,SPEAKER_00,10698.7921875,10699.450312500001
392,[ 02:58:19.450 -->  02:58:22.403],OQ,SPEAKER_01,10699.450312500001,10702.403437500001
393,[ 02:58:22.403 -->  02:58:25.440],GS,SPEAKER_00,10702.403437500001,10705.4409375
394,[ 02:58:25.440 -->  02:58:29.575],OR,SPEAKER_01,10705.4409375,10709.575312500001
395,[ 02:58:30.216 -->  02:59:44.939],GT,SPEAKER_00,10710.216562499998,10784.939062499998
396,[ 02:58:30.419 -->  02:58:30.452],OS,SPEAKER_01,10710.419062500001,10710.4528125
397,[ 02:59:44.939 -->  02:59:45.900],OT,SPEAKER_01,10784.939062499998,10785.900937499999
398,[ 02:59:46.525 -->  02:59:51.840],OU,SPEAKER_01,10786.525312499998,10791.840937500001
399,[ 02:59:53.022 -->  03:00:02.286],OV,SPEAKER_01,10793.022187499999,10802.286562500001
400,[ 03:00:01.493 -->  03:00:35.024],GU,SPEAKER_00,10801.493437500001,10835.0240625
401,[ 03:00:03.299 -->  03:00:04.480],OW,SPEAKER_01,10803.299062499998,10804.4803125
402,[ 03:00:35.985 -->  03:00:38.399],OX,SPEAKER_01,10835.985937499998,10838.3990625
403,[ 03:00:39.057 -->  03:00:51.899],OY,SPEAKER_01,10839.057187499999,10851.8990625
404,[ 03:00:52.506 -->  03:01:15.439],OZ,SPEAKER_01,10852.506562499999,10875.439687499998
405,[ 03:01:15.439 -->  03:02:52.673],GV,SPEAKER_00,10875.439687499998,10972.673437499998
406,[ 03:02:52.673 -->  03:02:58.495],PA,SPEAKER_01,10972.673437499998,10978.4953125
407,[ 03:02:58.495 -->  03:03:14.948],GW,SPEAKER_00,10978.4953125,10994.9484375
408,[ 03:03:14.205 -->  03:03:17.530],PB,SPEAKER_01,10994.205937499999,10997.5303125
409,[ 03:03:15.994 -->  03:03:19.437],GX,SPEAKER_00,10995.994687499999,10999.4371875
410,[ 03:03:19.437 -->  03:03:29.865],PC,SPEAKER_01,10999.4371875,11009.865937499999
411,[ 03:03:28.583 -->  03:05:32.108],GY,SPEAKER_00,11008.583437500001,11132.1084375
412,[ 03:05:32.766 -->  03:05:33.998],GZ,SPEAKER_00,11132.7665625,11133.998437499999
413,[ 03:05:32.800 -->  03:05:39.854],PD,SPEAKER_01,11132.8003125,11139.854062499999
414,[ 03:05:40.292 -->  03:06:03.647],HA,SPEAKER_00,11140.2928125,11163.6478125
415,[ 03:06:03.495 -->  03:06:11.224],PE,SPEAKER_01,11163.4959375,11171.224687499998
416,[ 03:06:12.540 -->  03:06:22.058],HB,SPEAKER_00,11172.540937499998,11182.0584375
417,[ 03:06:23.661 -->  03:07:41.708],HC,SPEAKER_00,11183.661562500001,11261.708437500001
418,[ 03:07:43.058 -->  03:07:49.386],HD,SPEAKER_00,11263.0584375,11269.3865625
419,[ 03:07:49.386 -->  03:08:06.936],PF,SPEAKER_01,11269.3865625,11286.9365625
420,[ 03:08:06.936 -->  03:09:52.945],HE,SPEAKER_00,11286.9365625,11392.9453125
421,[ 03:09:52.945 -->  03:09:59.104],PG,SPEAKER_01,11392.9453125,11399.1046875
422,[ 03:09:59.475 -->  03:10:01.551],HF,SPEAKER_00,11399.4759375,11401.5515625
423,[ 03:10:02.530 -->  03:10:18.983],PH,SPEAKER_01,11402.5303125,11418.9834375
424,[ 03:10:19.945 -->  03:11:16.594],PI,SPEAKER_01,11419.9453125,11476.5946875
